,Image,CVE-bin-tool,Docker Scout,Docker Scout SBOM,Grype,Grype SBOM,Snyk,Trivy,Trivy SBOM
26,jonchang_tact:sha-9ddc20a,3,24,25,120,120,0,0,0
27,httpd:2.4.62,18,38,38,132,132,288,135,20
28,vulhub_celery:3.1.23,331,9,9,521,521,962,311,65
29,snilsumelis_hello-world-for-argocd:eb3214e,19,1,1,1,1,3,1,1
30,kolla_prometheus-base:2023.2-ubuntu-jammy,89,27,27,69,73,173,60,8
31,tokiw_olm:be0.1,0,47,21,223,232,0,0,219
32,mariadb:11,85,84,84,724,724,154,115,66
33,jfcoz_blog:sha-b4a1160,1,75,75,965,965,721,1069,68
34,dockerinfratest_push-exporter:f541772c-ad8b-4e2f-9cc6-e918d9cf0cb2,0,0,0,6,6,0,0,0
35,azharshaikh662_hello-app:01,9,26,26,113,113,238,113,15
36,inzamamtahir_kamal_test:61c8acb1f518e8b5e7302e82a1bc5b1e5869519a,62,146,146,338,338,690,343,34
37,vulhub_git:2.12.2-with-openssh,221,0,0,482,482,1096,560,68
38,busybox:1.37,0,0,0,0,0,0,0,0
39,registry:2,14,21,21,0,22,0,19,19
40,mongpranit_ebusinesscard:02052025-01,5,0,0,10,10,0,0,0
41,hexlo_terraria-tmodloader-server:0.1.0.0,218,174,238,403,403,874,392,75
42,noiro_aci-containers-controller:6.0.4.4.81c2369.041725.10566,0,80,80,269,277,0,267,70
43,rabbitmq:4,38,25,25,41,41,67,28,17
44,seworkshop_kafka-test:1.509,132,0,0,130,130,0,0,0
45,saiprasadkrishnamurthy_reconciliation-service:0.1-SNAPSHOT,40,51,51,141,141,0,66,34
46,ubuntu:25.04,34,0,0,0,0,0,0,0
47,altinityinfra_test-base:1-16ee9e1c01224ee0167d4bd010a7f2cf451b74b4-aarch64,2537,1395,1395,2131,2143,506,1556,71
48,memcached:1.6.32,0,14,14,75,75,161,80,11
49,kenoalords_velvyapp:7f9db3441e7b55726f890bc6cfc079ef2d444ec2,10,1,1,7,7,0,1,1
50,vulhub_bash:4.3.0-with-httpd,231,0,0,464,464,761,258,59
51,redis:7.4,52,74,74,135,135,164,138,69
52,atareao_expertos:v0.1.0,2,0,0,8,8,0,0,0
53,kolejka_satori:judge,73,620,638,1502,1518,148,1109,42
54,vulhub_activemq:5.17.3,184,182,182,433,433,659,404,117
55,cy01_blackhole:v0.5.1,0,4,4,5,5,0,5,4
56,ppcelery_one-api:arm64-1ab9593,37,10,10,19,19,0,20,5
57,hhdev_php:8.2-apache,2,177,180,1999,1999,1292,2011,108
58,ltgc_gel:opensuse,0,0,0,0,0,0,0,0
59,free5gc_ueransim:v3.3.0,8,108,108,2988,2988,560,3000,22
60,lab7aisupport_lab7ai-backend:a94a3be532b0ed59899309cb0f0d1550c4d91d8d,2,27,27,77,77,161,81,11
61,free5gc_n3iwue:v3.4.3,2,133,133,2099,2099,470,2111,44
62,innosabi_node:20-alpine,5,5,5,14,14,0,8,3
63,khoubaib85_association-back:63,5,181,181,132,132,25,129,116
64,altinityinfra_dotnet-client:0-d130ef35e3a9fd08482ceb21df71d53828458ae7-aarch64,220,11,9,589,590,1253,685,144
65,diodonfrost_ansible-almalinux:9,338,44,32,276,287,0,0,20
66,razz1k_itkovrochistapp-staging:09d52ab3f2cd4308ccbc2d165d4d0916e69be0f4,66,2,2,77,77,3,2,1
67,silentmecha_wine:unstable,86,1067,2683,3372,3372,1521,1699,113
68,node:23,111,132,131,1526,1526,1278,1530,79
69,ycstech_kube-controller-manager:v1.32.4,0,8,8,7,7,0,7,6
70,alpine:3.20,4,0,0,0,0,0,0,0
71,centos:centos7,790,98,68,1207,1207,1201,1208,1208
72,maksim1111_loook-api:20250502-e3a179a,4,8,8,15,15,0,8,8
73,postgres:16.6,50,91,91,221,221,347,224,81
74,21120414_ecommerce-backend:4518babaa7996ea4d6286497881e6d294a069d89,1,10,10,29,29,0,7,7
75,amooati_paback-django:amd64-latest,5,30,30,100,100,0,104,11
76,stbotog_dexchart-referral:d9ec38818b7e8b1d1c35cb0f6d7e293d091bb690,0,50,50,129,129,0,134,25
77,vlulukyan_autograde:3dce58b,0,48,48,130,130,0,135,24
78,icoy_kube-combo-base:v0.0.7-amd64,0,68,68,278,284,409,283,79
79,tomasgorsd_sqm-repo-images:atl-services-image,55,62,62,104,104,0,109,42
80,torizon_qt6-wayland-imx8:4-rc,59,99,109,3354,3354,0,3361,57
81,upswot_upswot.api:6.0.2.0,46,20,20,82,82,168,566,16
82,rezcarbon_memorycortex:1.1.9-fixed,97,59,59,135,135,233,144,38
83,nathstevo97_ckan:302234cc4b597c3b0c8aa35e443f0a35f24cf169,165,133,133,1042,1042,1010,1144,95
84,realsoft2023_backend-dev-design:10042025,1252,116,116,3144,3155,5814,603,227
85,hdang09_cfms-fe:v1,3,1,1,7,7,0,1,1
86,joehorn_phpunit:12-php8.3,2,73,73,870,870,0,928,58
87,vulhub_cacti:1.2.22,153,262,383,3900,3900,1985,3909,182
88,elsamhaa_alpine:1,4,29,29,118,118,252,77,22
89,adminff_sms-service-bot:develop-1722,3,3,3,12,12,0,4,3
90,vimeo_psalm-github-actions:4.9.1,80,120,120,264,264,413,155,92
91,guigeng_sing-box:v1.12.0-alpha.2,0,8,8,17,17,30,11,7
92,passimx_chats-frontend:0.0.1,7,7,7,13,13,20,7,5
93,jarebear_hbni-audio-archive:2025.03.23.13,132,116,116,521,521,1118,516,67
94,vulhub_appweb:7.0.1,339,0,0,859,859,767,498,37
95,thooper91_draw-steel-api:5eb72736fba6d5f37ef951b54e553066cd93534f,6,50,50,898,898,0,903,11
96,free5gc_udr:v3.4.2,8,19,19,37,37,0,16,16
97,louisroyer_dev-free5gc-smf:bookworm-2025-03-07-67367cb-slim,0,75,75,158,158,228,129,52
98,solvworld_web-app:1.0,198,192,194,3210,3210,1671,3339,144
99,breuner_elbencho:master-ubuntu1804,132,0,0,130,130,130,0,0
100,vulhub_apisix:2.9,790,98,68,1207,1207,1201,1208,1208
101,socrata_java-focal:17,90,1408,1408,1636,1651,188,1399,44
102,woosungchoi_fpm-alpine:7.4-arm64,34,39,39,284,284,246,80,33
103,frostfree_kittygram_backend:v0.1,171,185,184,1985,1985,1394,2111,137
104,yuvadius_cannon:102788d9,2,27,27,73,73,0,78,11
105,php:8.2,3,66,66,1131,1131,654,1134,61
106,besscroft_picimpact:v2.0.2,13,5,5,13,13,27,8,3
107,debian:12,0,14,14,75,75,163,80,11
108,zbio_roostgpt-cli:34dd3d967d5100c4b34add731408d728e48dab5c,4,10,10,26,26,0,20,7
109,vulhub_cups-browsed:2.0.1,138,119,119,2024,2024,895,2005,44
110,scmdtdevapp_rm-fe:v1,5,0,0,10,10,0,0,0
111,bunkerity_bunkerweb-scheduler:1.6.0-rc2,2,8,8,34,34,0,17,6
112,adysis_vector:v1.0.1,5,35,35,122,122,238,133,17
113,enmanuelmoreira_docker-ansible-debian:12-arm64,54,84,84,855,877,0,958,67
114,ikonde_care_tracker_backend:f438c1aeafb4545b8b76cf473faa62e9996dccb4,104,172,172,3330,3330,0,3335,60
115,phatluu313_el-fe:0ebef20b,471,16,16,2676,2677,3085,6636,276
116,devradyalabs_raconn.webapp:0.2.0-staging.0,30,36,36,50,50,0,38,31
117,myonara_webmud3:unitopia,30,21,24,62,62,74,27,17
118,ngshiheng_cafireshistorydb:20250413,145,83,83,246,246,458,235,41
119,1maa_erlang:21-alpine,29,19,19,52,52,0,33,4
120,domboeckli_sdjpa-hibernate-dao:0.0.1_feature_fix_h2_console-SNAPSHOT,36,3,3,46,46,9,11,4
121,python:3.13,112,143,142,1562,1562,1280,1565,80
122,nginx:1.27,67,54,54,154,154,321,159,29
123,influxdb:1.11.8,46,42,42,158,158,301,152,26
124,amerinoo_crosstrain_aio:2.1.4,5,28,28,59,59,20,33,25
125,wiramin_dmsfe:80,5,8,8,18,18,22,8,6
126,oneelectronicbilling_etax_webportal_uat_v2:uat-1.9.280,35,52,52,115,115,0,89,31
127,mongo:8.0,85,83,104,138,138,157,110,68
128,vuepay_prod:1.0,213,59,64,107,107,134,83,47
129,ycstech_kube-proxy-s390x:v1.33.0-beta.0,8,3,8,20,20,223,20,6
130,camemis_ministry-dashboard-web:f304efe5,122,58,58,171,171,0,95,51
131,w3io_w3-runtime:fd97f250b78da05a9811ac997fdb46bfcc08faac,75,51,51,886,886,525,984,38
